from_station_id,to_station_id,line
1737,2205,"3"
2013,2124,"7B"
2013,2191,"7B"
1766,1677,"9"
1766,1898,"5"
1766,1766,"3"
1766,3343782,"9"
1766,2050,"3"
1766,1779,"3"
1766,2218,"11"
2514,1786,"3"
2514,2277,"3"
2434,1635,"7B"
3343774,1677,"9"
3343774,3343772,"9"
2408,2434,"7B"
2408,1682,"11"
2408,1905,"11"
1738,1786,"3"
1738,2329,"3"
2260,2509,"3"
2260,1724,"3"
1761,2050,"11"
1761,1892,"11"
1760,2314,"3"
1760,2196,"3"
2277,2509,"3"
2277,2514,"3"
1861,1674,"7B"
1861,2085,"7"
3343772,2314,"8"
3343772,1971,"9"
3343772,3343772,"9"
3343772,3343774,"9"
2347,1876,"7"
2111,3343788,"8"
2111,2437,"5"
2111,1642,"1"
2111,1166832,"1"
2111,3343784,"8"
2216,2028,"1"
2216,1945,"1"
1166829,1166831,"14"
1166829,1166827,"14"
2344,2221,"7"
2344,1681,"7"
1166827,1166825,"14"
1166827,1166829,"14"
2116,2035,"1"
2116,2470,"1"
1662796,1662798,"13"
1945,2144,"1"
1945,2162,"9"
1945,2441,"9"
1945,2216,"1"
2209,2153,"4"
2209,1898,"5"
2209,1957,"5"
2209,2085,"7"
2209,1800,"7"
1698,2107,"1"
1698,1166832,"1"
1698,3343789,"8"
1698,3343793,"8"
2258,2283,"1"
1774,2498,"1"
1774,1806,"7"
1774,6129304,"7"
1774,2331,"1"
1980,2293,"8"
1980,2498,"1"
1980,2144,"1"
1980,2052,"12"
1980,1166839,"8"
2035,2116,"1"
1639,1696,"7"
2323,1803,"1"
2104,1744,"7"
2504,2028,"2"
2504,1736,"2"
1876,2250,"7"
1876,1685,"7"
1888,2536,"13"
2401,2071,"2"
2401,2245,"12"
2401,1720,"12"
2401,2401,"12"
2401,2096,"2"
2235,1674,"2"
2235,2547,"2"
1971,2314,"7"
1971,3343772,"9"
1971,2316,"7"
1971,2285,"9"
1755,2323,"1"
2498,1980,"1"
2498,1774,"1"
2325,1724,"13"
2325,2406,"13"
2398,2160,"2"
2398,2394,"2"
2301,1790,"7"
2314,1760,"3"
2314,1971,"7"
2314,1166839,"8"
2314,6129304,"7"
2314,2285,"3"
2314,3343772,"8"
2048,1755,"1"
1854,2528,"7"
1854,2020,"7"
2394,2398,"2"
2394,2471,"3"
2394,2205,"3"
2394,2351,"2"
1685,2528,"7"
1685,1876,"7"
1661,3343755,"10"
1661,2253,"10"
2547,1957,"4"
2547,2235,"2"
2547,2152,"4"
2547,2096,"2"
2316,2015,"7"
2316,1720,"12"
2316,1971,"7"
2316,2496,"12"
1666,2442,"12"
1666,2500,"10"
1666,2455,"12"
1666,2334,"10"
2548,2436,"11"
2548,1978,"2"
2548,2128,"2"
2548,2218,"11"
1642,2111,"1"
1642,1892,"1"
2085,2209,"7"
2085,1861,"7"
2334,2411,"4"
2334,1666,"10"
2334,2533,"4"
2276,1879,"13"
2276,1969,"13"
2256,2354,"10"
2354,2355,"9"
2354,8433,"10"
2354,2295,"9"
2071,2401,"2"
2071,2406,"2"
2528,2177,"6"
2528,1166831,"6"
2528,1854,"7"
2528,1685,"7"
2509,2277,"3"
2509,1822,"2"
2509,2260,"3"
2509,1707,"2"
2250,1639,"7"
2500,2253,"10"
2500,1666,"10"
1681,2344,"7"
1681,1908,"7"
1903,2256,"10"
1903,2150,"10"
2096,2401,"2"
2096,2547,"2"
1744,2175,"7"
2419,1872,"13"
1822,2509,"2"
1822,2179,"2"
1811,2167,"10"
1811,2137,"10"
1674,2124,"7B"
1674,2235,"2"
1674,2247,"5"
1674,1703,"7"
1674,1674,"5"
1674,2296,"2"
1674,1957,"5"
1674,1861,"7B"
2529,2020,"7"
2529,1908,"7"
2193,2355,"10"
2193,2194,"10"
2160,2107,"2"
2160,2398,"2"
1166832,1166831,"14"
1166832,2111,"1"
1166832,1698,"1"
1166832,2221,"14"
1908,1681,"7"
1908,1952,"10"
1908,2529,"7"
1908,2137,"10"
2015,1800,"7"
2015,2316,"7"
8433,2193,"10"
1166831,1644,"6"
1166831,1166832,"14"
1166831,2107,"6"
1166831,1166829,"14"
2107,2107,"9"
2107,2399,"6"
2107,2454,"9"
2107,1882,"9"
2107,1698,"1"
2107,2160,"2"
2107,1751,"1"
2093,1703,"7"
2093,2175,"7"
1978,2548,"2"
1978,1674,"2"
1944,2104,"7"
2296,1978,"2"
2221,1806,"7"
2221,2472,"4"
2221,1892,"11"
2221,2221,"4"
2221,6129304,"14"
2221,2331,"1"
2221,1166832,"14"
2221,2344,"7"
2221,2322,"4"
1818,1903,"10"
6129304,2314,"7"
6129304,1774,"7"
6129304,1166839,"14"
6129304,2221,"14"
2167,1811,"10"
2167,2533,"10"
1696,1695,"7"
1166839,1980,"8"
1166839,2314,"8"
1166839,1724,"14"
1166839,6129304,"14"
2351,2128,"2"
2351,2394,"2"
2418,2347,"7"
2397,2372,"13"
2397,1948,"13"
1969,2276,"13"
2406,2071,"2"
2406,2325,"13"
2406,2536,"13"
2406,1707,"2"
2372,2397,"13"
2372,2427,"13"
1692061,1874,"13"
2028,2494,"2"
2028,2504,"2"
2028,1909,"6"
2028,2216,"1"
2028,2048,"1"
1803,2258,"1"
1892,1642,"1"
1892,1761,"11"
1892,2221,"11"
2536,2009,"13"
2536,2406,"13"
1751,2107,"1"
1751,2470,"1"
1724,2285,"3"
1724,2359,"13"
1724,2325,"13"
1724,2260,"3"
1724,2496,"12"
1724,1166839,"14"
140079,1716,"13"
2144,1980,"1"
2144,2293,"13"
2144,2359,"13"
2144,1945,"1"
2009,2419,"13"
1638,2464,"13"
1638,2293,"13"
2293,3343759,"8"
2293,2144,"13"
2293,1980,"8"
2293,1638,"13"
1827,2392,"6"
1827,2185,"6"
1827,2253,"13"
1827,1948,"13"
1879,2276,"13"
1879,2427,"13"
1872,1947,"13"
1874,2214,"13"
1947,1662796,"13"
2427,1879,"13"
2427,2372,"13"
1948,2397,"13"
1948,1827,"13"
2359,2460,"9"
2359,2144,"13"
2359,1724,"13"
2359,2441,"9"
2253,1661,"10"
2253,2500,"10"
2253,2464,"13"
2253,1827,"13"
2214,1748,"13"
1748,1888,"13"
2462,1692061,"13"
1716,2462,"13"
2464,2253,"13"
2464,1638,"13"
